anio,mes,indice_tiempo,provincia,concepto,cantidad_mm3,produccion_mes_anterior,produccion_dos_meses_antes,promedio_3_meses,variacion_mes_anterior
2021,9,2021-09,Chubut,Producción convencional,232395.1776,251488.7194,249942.34,248666.1409,1546.3794000000053
2021,10,2021-10,Chubut,Producción convencional,235995.698,232395.1776,251488.7194,244608.74566666665,-19093.541800000006
2021,11,2021-11,Chubut,Producción convencional,226064.9285,235995.698,232395.1776,239959.865,3600.5204000000085
2021,12,2021-12,Chubut,Producción convencional,238974.9638,226064.9285,235995.698,231485.26803333333,-9930.769499999995
2022,1,2022-01,Chubut,Producción convencional,243845.3082,238974.9638,226064.9285,233678.5301,12910.035299999989
2022,2,2022-02,Chubut,Producción convencional,224607.1486,243845.3082,238974.9638,236295.06683333332,4870.344400000002
2022,3,2022-03,Chubut,Producción convencional,255273.2239,224607.1486,243845.3082,235809.14019999994,-19238.159600000014
2022,4,2022-04,Chubut,Producción convencional,238492.78534,255273.2239,224607.1486,241241.89356666664,30666.075300000026
2022,5,2022-05,Chubut,Producción convencional,246394.31984,238492.78534,255273.2239,239457.71928,-16780.43856000001
2022,6,2022-06,Chubut,Producción convencional,243398.29441,246394.31984,238492.78534,246720.1096933333,7901.534500000009
2022,7,2022-07,Chubut,Producción convencional,249422.91711,243398.29441,246394.31984,242761.79986333335,-2996.025430000009
2022,8,2022-08,Chubut,Producción convencional,260063.12556,249422.91711,243398.29441,246405.17711999998,6024.622700000007
2022,9,2022-09,Chubut,Producción convencional,242553.46992,260063.12556,249422.91711,250961.4456933333,10640.208449999976
2022,10,2022-10,Chubut,Producción convencional,244739.10636,242553.46992,260063.12556,250679.83753,-17509.655639999983
2022,11,2022-11,Chubut,Producción convencional,239154.40909,244739.10636,242553.46992,249118.56727999996,2185.636440000002
2022,12,2022-12,Chubut,Producción convencional,247198.98652,239154.40909,244739.10636,242148.9951233333,-5584.697270000004
2023,1,2023-01,Chubut,Producción convencional,240936.34686,247198.98652,239154.40909,243697.50065666667,8044.577430000005
2023,2,2023-02,Chubut,Producción convencional,217285.4337,240936.34686,247198.98652,242429.91415666664,-6262.639660000015
2023,3,2023-03,Chubut,Producción convencional,237640.503088,217285.4337,240936.34686,235140.2556933333,-23650.913159999996
2023,4,2023-04,Chubut,Producción convencional,222136.7555,237640.503088,217285.4337,231954.0945493333,20355.069388000004
2023,5,2023-05,Chubut,Producción convencional,234559.3286,222136.7555,237640.503088,225687.56409599996,-15503.747587999998
2023,6,2023-06,Chubut,Producción convencional,231625.19112,234559.3286,222136.7555,231445.5290626666,12422.573100000009
2023,7,2023-07,Chubut,Producción convencional,242738.7896,231625.19112,234559.3286,229440.42507333332,-2934.137480000005
2023,8,2023-08,Chubut,Producción convencional,242521.6868,242738.7896,231625.19112,236307.76977333333,11113.598479999986
2023,9,2023-09,Chubut,Producción convencional,233624.69807,242521.6868,242738.7896,238961.8891733333,-217.1027999999933
2023,10,2023-10,Chubut,Producción convencional,241374.72247,233624.69807,242521.6868,239628.39148999998,-8896.988729999983
2023,11,2023-11,Chubut,Producción convencional,225447.98743,241374.72247,233624.69807,239173.70244666666,7750.024399999995
2023,12,2023-12,Chubut,Producción convencional,233813.28994,225447.98743,241374.72247,233482.46932333332,-15926.73504
2024,1,2024-01,Chubut,Producción convencional,227344.06114,233813.28994,225447.98743,233545.33328,8365.30250999998
2024,2,2024-02,Chubut,Producción convencional,216104.33423,227344.06114,233813.28994,228868.44616999998,-6469.228799999983
2024,3,2024-03,Chubut,Producción convencional,223819.46234,216104.33423,227344.06114,225753.8951033333,-11239.726909999998
2024,4,2024-04,Chubut,Producción convencional,210237.09475,223819.46234,216104.33423,222422.61923666662,7715.128109999991
2024,5,2024-05,Chubut,Producción convencional,217766.64312,210237.09475,223819.46234,216720.29710666664,-13582.367590000009
2024,6,2024-06,Chubut,Producción convencional,202670.11961,217766.64312,210237.09475,217274.40006999997,7529.548370000004
2024,7,2024-07,Chubut,Producción convencional,210359.2919,202670.11961,217766.64312,210224.61915999997,-15096.523509999999
2024,8,2024-08,Chubut,Producción convencional,222854.80277,210359.2919,202670.11961,210265.3515433333,7689.172290000017
2024,9,2024-09,Chubut,Producción convencional,214683.94361,222854.80277,210359.2919,211961.40475999998,12495.510869999998
2024,10,2024-10,Chubut,Producción convencional,216436.17976,214683.94361,222854.80277,215966.01275999998,-8170.859160000022
