anio,mes,indice_tiempo,provincia,concepto,cantidad_mm3
2009,7,2009-07,Salta,Tight gas,0
2009,7,2009-07,San Juan,Producción convencional,0
2009,7,2009-07,San Juan,Shale gas,0
2009,7,2009-07,San Juan,Tight gas,0
2009,7,2009-07,Santa Cruz,Producción convencional,421323.6343
2009,7,2009-07,Santa Cruz,Shale gas,0
2009,7,2009-07,Santa Cruz,Tight gas,2098.943
2009,7,2009-07,Tierra del Fuego,Producción convencional,380083.578
2009,7,2009-07,Tierra del Fuego,Shale gas,0
2009,7,2009-07,Tierra del Fuego,Tight gas,0
2009,8,2009-08,Chubut,Producción convencional,305871.6603
2009,8,2009-08,Chubut,Shale gas,0
2009,8,2009-08,Chubut,Tight gas,0
2009,8,2009-08,Estado Nacional,Producción convencional,249878.330
2009,8,2009-08,Estado Nacional,Shale gas,0
2009,8,2009-08,Estado Nacional,Tight gas,0
2009,8,2009-08,Formosa,Producción convencional,3335.05
2009,8,2009-08,Formosa,Shale gas,0
2009,8,2009-08,Formosa,Tight gas,0
2009,8,2009-08,Jujuy,Producción convencional,383.580000
2009,8,2009-08,Jujuy,Shale gas,0
2009,8,2009-08,Jujuy,Tight gas,0
2009,8,2009-08,La Pampa,Producción convencional,41544.278
2009,8,2009-08,La Pampa,Shale gas,0
2009,8,2009-08,La Pampa,Tight gas,0
2009,8,2009-08,Mendoza,Producción convencional,215674.4564
2009,8,2009-08,Mendoza,Shale gas,0
2009,8,2009-08,Mendoza,Tight gas,0
2009,8,2009-08,Neuquén,Producción convencional,1925018.21492000
2009,8,2009-08,Neuquén,Shale gas,677.294
2009,8,2009-08,Neuquén,Tight gas,71558.98505
2009,8,2009-08,Rio Negro,Producción convencional,56662.16300000
2009,8,2009-08,Rio Negro,Shale gas,0
2009,8,2009-08,Rio Negro,Tight gas,11014.546
2009,8,2009-08,Salta,Producción convencional,538532.271
2009,8,2009-08,Salta,Shale gas,0
2009,8,2009-08,Salta,Tight gas,0
2009,8,2009-08,San Juan,Producción convencional,0
2009,8,2009-08,San Juan,Shale gas,0
2009,8,2009-08,San Juan,Tight gas,0
2009,8,2009-08,Santa Cruz,Producción convencional,206663.2141
